artist_id,genre
"""3oDbviiivRWhXwIE8hxkVV""","""classic rock"""
"""3oDbviiivRWhXwIE8hxkVV""","""folk rock"""
"""3oDbviiivRWhXwIE8hxkVV""","""mellow gold"""
"""3oDbviiivRWhXwIE8hxkVV""","""pop christmas"""
"""3oDbviiivRWhXwIE8hxkVV""","""psychedelic rock"""
"""3oDbviiivRWhXwIE8hxkVV""","""rock"""
"""3oDbviiivRWhXwIE8hxkVV""","""singer-songwriter"""
"""3oDbviiivRWhXwIE8hxkVV""","""soft rock"""
"""1RP2UpEaRzkF0Id3JigqD8""","""comic"""
"""1RP2UpEaRzkF0Id3JigqD8""","""country"""
"""1RP2UpEaRzkF0Id3JigqD8""","""country gospel"""
"""1RP2UpEaRzkF0Id3JigqD8""","""country rock"""
"""1RP2UpEaRzkF0Id3JigqD8""","""cowboy western"""
"""1RP2UpEaRzkF0Id3JigqD8""","""nashville sound"""
"""1RP2UpEaRzkF0Id3JigqD8""","""outlaw country"""
"""1RP2UpEaRzkF0Id3JigqD8""","""traditional country"""
"""1RP2UpEaRzkF0Id3JigqD8""","""traditional folk"""
"""1RP2UpEaRzkF0Id3JigqD8""","""western swing"""
"""1gVvCzqQy5epTJcFNwWJ37""","""brill building pop"""
"""1gVvCzqQy5epTJcFNwWJ37""","""merseybeat"""
"""3CgsVtt7tP8iduzkTCfel9""","""brill building pop"""
"""3CgsVtt7tP8iduzkTCfel9""","""bubblegum pop"""
"""3CgsVtt7tP8iduzkTCfel9""","""doo-wop"""
"""1rHh0AI30JhKrbzKIFjFNd""","""brill building pop"""
"""1rHh0AI30JhKrbzKIFjFNd""","""chicago soul"""
"""1rHh0AI30JhKrbzKIFjFNd""","""classic funk rock"""
"""1rHh0AI30JhKrbzKIFjFNd""","""disco"""
"""1rHh0AI30JhKrbzKIFjFNd""","""jazz blues"""
"""1rHh0AI30JhKrbzKIFjFNd""","""memphis soul"""
"""1rHh0AI30JhKrbzKIFjFNd""","""motown"""
"""1rHh0AI30JhKrbzKIFjFNd""","""northern soul"""
"""1rHh0AI30JhKrbzKIFjFNd""","""quiet storm"""
"""1rHh0AI30JhKrbzKIFjFNd""","""soul"""
"""1rHh0AI30JhKrbzKIFjFNd""","""soul blues"""
"""1rHh0AI30JhKrbzKIFjFNd""","""southern soul"""
"""71lGEtP9qYXDsSXjfexTqO""","""adult standards"""
"""71lGEtP9qYXDsSXjfexTqO""","""brill building pop"""
"""71lGEtP9qYXDsSXjfexTqO""","""bubblegum pop"""
"""71lGEtP9qYXDsSXjfexTqO""","""christmas"""
"""71lGEtP9qYXDsSXjfexTqO""","""folk"""
"""71lGEtP9qYXDsSXjfexTqO""","""folk rock"""
"""71lGEtP9qYXDsSXjfexTqO""","""mellow gold"""
"""71lGEtP9qYXDsSXjfexTqO""","""merseybeat"""
"""71lGEtP9qYXDsSXjfexTqO""","""motown"""
"""71lGEtP9qYXDsSXjfexTqO""","""rock-and-roll"""
"""71lGEtP9qYXDsSXjfexTqO""","""rockabilly"""
"""0XTxadWXVyfB8eTIYOjMYj""","""adult standards"""
"""0XTxadWXVyfB8eTIYOjMYj""","""brill building pop"""
"""0XTxadWXVyfB8eTIYOjMYj""","""british invasion"""
"""0XTxadWXVyfB8eTIYOjMYj""","""bubblegum pop"""
"""0XTxadWXVyfB8eTIYOjMYj""","""christmas"""
"""0XTxadWXVyfB8eTIYOjMYj""","""classic garage rock"""
"""0XTxadWXVyfB8eTIYOjMYj""","""doo-wop"""
"""0XTxadWXVyfB8eTIYOjMYj""","""folk rock"""
"""0XTxadWXVyfB8eTIYOjMYj""","""merseybeat"""
"""0XTxadWXVyfB8eTIYOjMYj""","""rock-and-roll"""
"""4jZOiPysIzYxbDcDEOZmhu""","""jazz christmas"""
"""4jZOiPysIzYxbDcDEOZmhu""","""jazz funk"""
"""4jZOiPysIzYxbDcDEOZmhu""","""soul jazz"""
"""48YxSlb23RAaCd4RyHcV9V""","""adult standards"""
"""48YxSlb23RAaCd4RyHcV9V""","""brill building pop"""
"""48YxSlb23RAaCd4RyHcV9V""","""british blues"""
"""48YxSlb23RAaCd4RyHcV9V""","""british invasion"""
"""48YxSlb23RAaCd4RyHcV9V""","""bubblegum pop"""
"""48YxSlb23RAaCd4RyHcV9V""","""christmas"""
"""48YxSlb23RAaCd4RyHcV9V""","""classic rock"""
"""48YxSlb23RAaCd4RyHcV9V""","""folk"""
"""48YxSlb23RAaCd4RyHcV9V""","""folk rock"""
"""48YxSlb23RAaCd4RyHcV9V""","""mellow gold"""
"""48YxSlb23RAaCd4RyHcV9V""","""merseybeat"""
"""48YxSlb23RAaCd4RyHcV9V""","""rock-and-roll"""
"""48YxSlb23RAaCd4RyHcV9V""","""rockabilly"""
"""48YxSlb23RAaCd4RyHcV9V""","""soft rock"""
"""57bUPid8xztkieZfS7OlEV""","""adult standards"""
"""57bUPid8xztkieZfS7OlEV""","""brill building pop"""
"""57bUPid8xztkieZfS7OlEV""","""chicago soul"""
"""57bUPid8xztkieZfS7OlEV""","""christmas"""
"""57bUPid8xztkieZfS7OlEV""","""classic funk rock"""
"""57bUPid8xztkieZfS7OlEV""","""classic rock"""
"""57bUPid8xztkieZfS7OlEV""","""disco"""
"""57bUPid8xztkieZfS7OlEV""","""mellow gold"""
"""57bUPid8xztkieZfS7OlEV""","""memphis soul"""
"""57bUPid8xztkieZfS7OlEV""","""motown"""
"""57bUPid8xztkieZfS7OlEV""","""quiet storm"""
"""57bUPid8xztkieZfS7OlEV""","""rock-and-roll"""
"""57bUPid8xztkieZfS7OlEV""","""soul"""
"""57bUPid8xztkieZfS7OlEV""","""soul blues"""
"""57bUPid8xztkieZfS7OlEV""","""soul christmas"""
"""57bUPid8xztkieZfS7OlEV""","""southern soul"""
"""4b0WsB47XCa9F83BmwQ7WX""","""adult standards"""
"""4b0WsB47XCa9F83BmwQ7WX""","""brill building pop"""
"""4b0WsB47XCa9F83BmwQ7WX""","""bubblegum pop"""
"""4b0WsB47XCa9F83BmwQ7WX""","""christmas"""
"""4b0WsB47XCa9F83BmwQ7WX""","""folk rock"""
"""4b0WsB47XCa9F83BmwQ7WX""","""mellow gold"""
"""4b0WsB47XCa9F83BmwQ7WX""","""motown"""
"""4b0WsB47XCa9F83BmwQ7WX""","""rock-and-roll"""
"""4b0WsB47XCa9F83BmwQ7WX""","""rockabilly"""
"""48YxSlb23RAaCd4RyHcV9V""","""adult standards"""
"""48YxSlb23RAaCd4RyHcV9V""","""brill building pop"""
"""48YxSlb23RAaCd4RyHcV9V""","""british blues"""
"""48YxSlb23RAaCd4RyHcV9V""","""british invasion"""
"""48YxSlb23RAaCd4RyHcV9V""","""bubblegum pop"""
"""48YxSlb23RAaCd4RyHcV9V""","""christmas"""
"""48YxSlb23RAaCd4RyHcV9V""","""classic rock"""
"""48YxSlb23RAaCd4RyHcV9V""","""folk"""
"""48YxSlb23RAaCd4RyHcV9V""","""folk rock"""
"""48YxSlb23RAaCd4RyHcV9V""","""mellow gold"""
"""48YxSlb23RAaCd4RyHcV9V""","""merseybeat"""
"""48YxSlb23RAaCd4RyHcV9V""","""rock-and-roll"""
"""48YxSlb23RAaCd4RyHcV9V""","""rockabilly"""
"""48YxSlb23RAaCd4RyHcV9V""","""soft rock"""
"""7dedWAqd0IKTdCiqiadUrV""","""adult standards"""
"""7dedWAqd0IKTdCiqiadUrV""","""brill building pop"""
"""7dedWAqd0IKTdCiqiadUrV""","""british invasion"""
"""7dedWAqd0IKTdCiqiadUrV""","""bubblegum pop"""
"""7dedWAqd0IKTdCiqiadUrV""","""christmas"""
"""7dedWAqd0IKTdCiqiadUrV""","""folk"""
"""7dedWAqd0IKTdCiqiadUrV""","""folk rock"""
"""7dedWAqd0IKTdCiqiadUrV""","""mellow gold"""
"""7dedWAqd0IKTdCiqiadUrV""","""merseybeat"""
"""7dedWAqd0IKTdCiqiadUrV""","""rock-and-roll"""
"""7dedWAqd0IKTdCiqiadUrV""","""traditional folk"""
"""0DAqhikcMKLo2lPADVz2fs""","""adult standards"""
"""0DAqhikcMKLo2lPADVz2fs""","""brill building pop"""
"""0DAqhikcMKLo2lPADVz2fs""","""bubblegum pop"""
"""0DAqhikcMKLo2lPADVz2fs""","""christmas"""
"""0DAqhikcMKLo2lPADVz2fs""","""doo-wop"""
"""0DAqhikcMKLo2lPADVz2fs""","""folk rock"""
"""0DAqhikcMKLo2lPADVz2fs""","""rock-and-roll"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""album rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""art rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""blues-rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""brill building pop"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""british blues"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""bubblegum pop"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""classic funk rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""classic rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""country rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""folk"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""folk rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""mellow gold"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""psychedelic rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""rock-and-roll"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""rockabilly"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""roots rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""singer-songwriter"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""soft rock"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""soul"""
"""1PCZpxHJz7WAMF8EEq8bfc""","""traditional folk"""
"""0uPfErG0KkEmtYg4y3O7LC""","""easy listening"""
"""5PmZd7YOaUgQwhOja44fmZ""","""chicago soul"""
"""5PmZd7YOaUgQwhOja44fmZ""","""classic funk rock"""
"""5PmZd7YOaUgQwhOja44fmZ""","""disco"""
"""5PmZd7YOaUgQwhOja44fmZ""","""funk"""
"""5PmZd7YOaUgQwhOja44fmZ""","""memphis soul"""
"""5PmZd7YOaUgQwhOja44fmZ""","""motown"""
"""5PmZd7YOaUgQwhOja44fmZ""","""quiet storm"""
"""5PmZd7YOaUgQwhOja44fmZ""","""soul"""
"""5PmZd7YOaUgQwhOja44fmZ""","""southern soul"""
"""1T0wRBO0CK0vK8ouUMqEl5""","""adult standards"""
"""1T0wRBO0CK0vK8ouUMqEl5""","""brill building pop"""
"""1T0wRBO0CK0vK8ouUMqEl5""","""british invasion"""
"""1T0wRBO0CK0vK8ouUMqEl5""","""christmas"""
"""1T0wRBO0CK0vK8ouUMqEl5""","""mellow gold"""
"""6xdkfNRMtBzeu7t4wyum2X""","""bubblegum pop"""
"""6xdkfNRMtBzeu7t4wyum2X""","""folk christmas"""
"""6xdkfNRMtBzeu7t4wyum2X""","""folk rock"""
"""6xdkfNRMtBzeu7t4wyum2X""","""merseybeat"""
"""6xdkfNRMtBzeu7t4wyum2X""","""traditional folk"""
"""6etIM3JbzGPxTdfNWWfsVH""","""brill building pop"""
"""6etIM3JbzGPxTdfNWWfsVH""","""bubblegum pop"""
"""6etIM3JbzGPxTdfNWWfsVH""","""classic garage rock"""
"""6etIM3JbzGPxTdfNWWfsVH""","""folk rock"""
"""6etIM3JbzGPxTdfNWWfsVH""","""merseybeat"""
