album_id,artist_id
0ttvz9n7vBPaMWpRplAZbs,2jgPkn6LuUazBoBk6vvjh5
2Eabt9Pi7zWreJJxcNkIw6,6lHC2EQMEMZiEmSfFloarn
2Ta8HF3UYsHmHQ7BfUKc5m,26LmRGHptm85F27BZwOSt7
5n3yhXw0DNTRIpSfRE98tT,0LyfQWJT6nXafLPZqxe9Of
3k6u76lSaKt4FrxSphXPRj,6TKOZZDd5uV5KnyC5G4MUt
0u0RtnUnKXRsc0wiD6q6Ck,4cPHsZM98sKzmV26wlwD2W
0eJIif0B4cSKvclbgpgg41,5UloVKzUNJcjORzhhTWWiJ
0X7zSX47ZpZa5xlDS86a4x,5gPEo032lzARtzuVqJIm9o
2Eabt9Pi7zWreJJxcNkIw6,6lHC2EQMEMZiEmSfFloarn
7pSmOdR07xSmTJBcwKKF0v,7fIvjotigTGWqjIz6EP1i4
7GyCInPcS17DR5hJcoPcVT,0LyfQWJT6nXafLPZqxe9Of
25CUJO08rkvZV9rIIP4L4B,5TbXjzD8tYgMD5JU2g2F8q
3GoBNqjGtsJ8jnwp1PfKby,3ICflSq6ZgYAIrm2CTkfVP
3qWJ6R8Wg3PPCAOToluwPJ,4DQj1q0unpi9KF8jO1Wqks
2Q5MwpTmtjscaS34mJFXQQ,22bE4uQ6baNwSHPVcDxLCe
5bx2ZHa0KUDMD5T0r9V030,7CCn4PFRRRZF127jtCBAUe
3hvs3eByEMXdombyMxt4t8,72OaDtakiy6yFqkt4TsiFt
0WqXHjmlZ7VnWdx6VWBhxu,3PF1KBeHYb14yKgsiE693V
1NnmPhfPVSpqCqP6iJ30Vc,4NMkJqM1SsQP3gk81cqk6K
3k6u76lSaKt4FrxSphXPRj,6TKOZZDd5uV5KnyC5G4MUt
5yzgzivi3L7IK2VNdYgmlk,4ui9JwXE5MHylLzpsoiEhr
1pY5yYIU9DNm9GTFhCyMTt,5wKpYtFnMb1OgGxuJsmrPY
0wO6YoOaFOXKatKb9n20IX,6eVCRmRG2HcfL4yx77A9WK
1k8XUyl8B83dBEIsdPPb5U,3lcfZLW21dTfmTLBmae1eR
05wRON6KWMYqj8Mu2hcsFb,0LyfQWJT6nXafLPZqxe9Of
2g6zIUb6GvP0k5KtLpWOEQ,0LyfQWJT6nXafLPZqxe9Of
1kYeM6oy6I8tK7668jM7Hw,3koiLjNrgRTNbOwViDipeA
,
0gC39hx2OS9rA9hSItx217,2kuNswDC82PL9xRbfaZJaS
5CFmNamq1ceXn8RFJ9i7p6,4b0WsB47XCa9F83BmwQ7WX
58n69WLzYQ48hLnGlwJNDE,5UloVKzUNJcjORzhhTWWiJ
,
1q1LuLo92N5cl5e0GKRq7h,320EPCSEezHt1rtbfwH6Ck
76oMr4Y2pOtcrvZLc2ZikF,1bs7HoMkSyQwcobCpE9KpN
5u4oZQY6eYzH7ZpydPoUN3,57bUPid8xztkieZfS7OlEV
33kKQOAwlGVHTDDrfAtDbS,3TiISqKS6ESlMQ4WFfZJw2
76oMr4Y2pOtcrvZLc2ZikF,1bs7HoMkSyQwcobCpE9KpN
3enoBBhSA6i2pXEP8rjAWY,7CCn4PFRRRZF127jtCBAUe
2MEhuAU7HJA29kCBJcVcFv,55CCS64lPz88twUDVquU1u
62FTy4WqUxi3paBlxOhh4M,3IZrrNonYELubLPJmqOci2
0df3JoBq9n1DURqe8H3Qq9,0hF0PwB04hnXfYMiZWfJzy
1kyb5tomEXcA106V57puFW,1Mxqyy3pSjf8kZZL4QVxS0
7vEJAtP3KgKSpOHVgwm3Eh,3WrFJ7ztbogyGnTHbHJFl2
2ZhMMZobSh6Pkkv8EK82Fp,5g2n2H9ndqvejERtwZ1rHh
2rQF2EUdMIWql33I4YJMcN,0LyfQWJT6nXafLPZqxe9Of
41ZlNC1lzHGUyI558jhWNd,01hRNr3yF5bYnPq4wZ88iI
0lj5tDBUt1i1b1Llobu23M,3rRmDmzPcAFwcUDvG5gBqO
72qrnM4yUNMDDlWiqKc8iY,22bE4uQ6baNwSHPVcDxLCe
4pvPAWiVRHdnVXkOt49sKk,6nKqt1nbSBEq3iUXD1Xgz8
2ZVgfQF9ljaMugBwVJMoM8,0LyfQWJT6nXafLPZqxe9Of
1pcRrY8NNtgnSdpWZfRdc0,57xdnSVt4ahJCIXYLieQ25
6VyJ0GRhy0rRdmKP7rVuZu,0LyfQWJT6nXafLPZqxe9Of
2ULhVPvdhT7RREnqRWM06G,6vLlQYujOujIrm7zAKzEdG
6pJkF95sYsVg3FJtTvTuEG,2uNpV18izVIP7DNusoWbT5
7vEJAtP3KgKSpOHVgwm3Eh,3WrFJ7ztbogyGnTHbHJFl2
4LJ3eQxjZoUMkPEyQn8uA7,5ojumrbWWohLIuzArVoyDs
5BrLn546krr08d9UvOj73k,57bUPid8xztkieZfS7OlEV
7qZhNNSQt7iyFljem9XfLv,05sRO4JdAtJGyZQOTb6kSL
,
37rNuexqEXWeSIOiJtn3A9,3oDbviiivRWhXwIE8hxkVV
7GyCInPcS17DR5hJcoPcVT,0LyfQWJT6nXafLPZqxe9Of
52uwBxHFIheYUU0ydCL5Hh,5zaXYwewAXedKNCff45U5l
4tunfFO1SffujlRfanDyZI,2AYmrUFn1ATSfFSx3B4tvb
6CiyxMSt0nUWWCg6OJK7gU,0LyfQWJT6nXafLPZqxe9Of
4UTTI52aZrvCeozkd5QTYi,4qnb4cn5aykCACoyuCirGg
5WyS0kooTM6uriZwmXjLLY,1QAGLCom3FHTTiuRFsjzOj
4Tu1drZvE6VDoZNGBtYTVi,382aCtCMEd2Rg2DmcU9xw9
678WzpMIeszIatLVnczSnS,7CCn4PFRRRZF127jtCBAUe
0g7KIFSl7alPYu9prQDD8m,5Odrl8RJfCf0km0UaRI4cR
3AfmsGYKiws10yXVqaJQDt,7t4XHvWfj0XtEB8SNFeALw
3AfmsGYKiws10yXVqaJQDt,7t4XHvWfj0XtEB8SNFeALw
15Tn9yu64pxuvejk5FNAaG,6waa8mKu91GjzD4NlONlNJ
5wtLC8QWMF9tZKVI9cBqcX,1qO2mRQM4zbksO586oM0W7
4vLNcHFT6BDVJCEceb97v9,0uUNzXylqsZdmFDwdxaP1V
3RE8NUULcBzFvVtCmlI4lb,3RwQ26hR2tJtA8F9p2n7jG
5C60jLsdwKJrqhr9f8l8W0,4BM6qze88exQPVILQpcYpj
55vRv2NsC7lwxF1IWJzBSO,5W6gs1V54kOPUgBxBLkY1z
07RAGILF28QweYQSZasr5k,70cRZdQywnSFp9pnc2WTCE
,
5NjUJmfbCRtZQlWBongnT4,3TiISqKS6ESlMQ4WFfZJw2
6aimJxDJMApLmry2VSjsLT,70cRZdQywnSFp9pnc2WTCE
2Eabt9Pi7zWreJJxcNkIw6,6lHC2EQMEMZiEmSfFloarn
5dqFVDJ9lPRBCqEzufd8sF,70cRZdQywnSFp9pnc2WTCE
5bx2ZHa0KUDMD5T0r9V030,7CCn4PFRRRZF127jtCBAUe
35eTfRvKfgDs09XoqzHL89,7FlUCXHUxNEOk2exJUiqp1
0qnHA4SDco9mPuWGzDqVDK,7guDJrEfX3qb6FEbdPA5qi
2aMAvNGDGXOdTqmeSdGyMg,72OaDtakiy6yFqkt4TsiFt
6GphKx2QAPRoVGWE9D7ou8,3oDbviiivRWhXwIE8hxkVV
0aqZJlugIkTUWW1sa4BANp,22bE4uQ6baNwSHPVcDxLCe
1ROIPdrYZPf0SYpVhu1co9,6gZVflqhSHhG3MjYrf1dOv
7Mccdl5xR9mfqo00lgDVDA,57WXdjUf5Vlq3klNZegeTP
4eDlbgJiIPAtUEMSXx3Ca6,3RwQ26hR2tJtA8F9p2n7jG
,
725sLHkKGV9KyeKr4baiEi,32HPpJAhgnGPT3V7UOggzi
0QmqZfc1jkLGwSUgtneqZU,0LyfQWJT6nXafLPZqxe9Of
3DnmM4px8ryUGurwALbCcX,0LyfQWJT6nXafLPZqxe9Of
0u0RtnUnKXRsc0wiD6q6Ck,4cPHsZM98sKzmV26wlwD2W
69McWz1Og4ZOjEeupHfpw7,6WtWmLPWn1imbcisSfmBvy
1RAUCiIplLj3Hix8T5UDE9,0LyfQWJT6nXafLPZqxe9Of
6B0JGDZmuQBmYoIg3Crvc5,0EodhzA6yW1bIdD5B4tcmJ
4LXT51p1VlIIztpcYPTpY7,0MponVSpW81oLvJZ53vYZH
512ipXtdhwJF52NTT2yryo,7mEIug7XUlQHikrFxjTWes
2CQt3vL1SHnqxyZvoPQPUb,0En4EEcDMJ5kaUCf1aZ9js
04ieptHQiy3XLLxGWeoMMD,2JSjCHK79gdaiPWdKiNUNp
2aA0a7jTuOaUdjG9ELNtX2,1zJBFCev9UwOMcrZsLi2od
6cSZPNsr3tMEHo5QrMjk1F,3oDbviiivRWhXwIE8hxkVV
6wXrXe2x2ADL77uOTc74Ai,0NRN3tnDVDspHMCfyu2ZwT
206gQh3Ea4NL1zWMUekxVr,57bUPid8xztkieZfS7OlEV
4NP1rhnsPdYpnyJP0p0k0L,74ASZWbe4lXaubB36ztrGX
6GJ2oQ4v90ylX6WQTobmd5,3iBuBivHItWMpdiVmLT0uB
3R7ZC37Ur3zx40M06RLMMd,0N5PyKJzS3M1XNlaCL7bbE
,
2Eabt9Pi7zWreJJxcNkIw6,6lHC2EQMEMZiEmSfFloarn
4cOmonGdWQvqlspEm5M2Ry,2VIoWte1HPDbZ2WqHd2La7
3vxuVK7HtkyYcfADnNd2lS,0LyfQWJT6nXafLPZqxe9Of
4mtO1j9fDmDwPWp1kGiWFN,7ewJCECkpkh56w0Y4VWzSY
50o7kf2wLwVmOTVYJOTplm,3WrFJ7ztbogyGnTHbHJFl2
6TbZXMXvUGFqx3opETEAuW,48YxSlb23RAaCd4RyHcV9V
5TTu0jZMeVuh9EaCGsatPa,36hwOoNPgnsKnhoMBYpJrJ
5d5JSnI9P9ADeXR4qcx7xl,0XTxadWXVyfB8eTIYOjMYj
65wkUBOfAg2XJqqLTaWThi,0QRgfCLzSR9GyCjXboWQTA
7KEDLBdqvyiV4D2uH9SgbV,5XoM6cP8fQykllfuK5V5TR
3PRoXYsngSwjEQWR5PsHWR,3WrFJ7ztbogyGnTHbHJFl2
4YEtBOzy6Ig4cqIW99aIC3,32HPpJAhgnGPT3V7UOggzi
0VqOfYQxQomNWHAiB9MHm2,09L3cUdx0hq6qn5bKuJJ4I
0lYmtEuL0fLXPP4XKr5O8K,2lxX1ivRYp26soIavdG9bX
,
37J4FeONwmD1Gl3PzvZGv3,0jYKX08u1XxmHrl5TdM2QZ
08mPxuP35Db56jUUgRvGFs,3KGQvnOoqUHi3KxKQMZtXr
05I1EsreLq47JU8pypj7TR,4E9w0bms6HcEppFlWjeW2d
0gC39hx2OS9rA9hSItx217,2kuNswDC82PL9xRbfaZJaS
50zHjIiTOZM232gnWvOydX,320EPCSEezHt1rtbfwH6Ck
1jWmEhn3ggaL6isoyLfwBn,22WZ7M8sxp5THdruNY3gXt
67Evm6gPc9wFSUf1aXOrKO,1Mxqyy3pSjf8kZZL4QVxS0
2pMxs38Y5A0mmHrcu3twvB,2VIoWte1HPDbZ2WqHd2La7
5aQE05ji4wayN65QCZkl0U,5X3TuTi9OIsJXMGxPwTKM2
0csktLKWM0dP828c04tXpl,0LyfQWJT6nXafLPZqxe9Of
1Yh1PJPq98OAmqLpHrCSKp,5UloVKzUNJcjORzhhTWWiJ
6gvl4yoeI4s7y5MbQzfONy,01hRNr3yF5bYnPq4wZ88iI
1LBWNRMsbEWb17KmDD4jfD,0LyfQWJT6nXafLPZqxe9Of
6thSjE17RxW8tJFtLyXA3B,7guDJrEfX3qb6FEbdPA5qi
434hmQ0GM7ynBeMZz5BSQ3,5MX2l6ewjOaeWn1lYNhzlO
5GCaDPj9Jx6TEZChzUacWM,0LyfQWJT6nXafLPZqxe9Of
6dYQhuDC49jXh7YvTtb0oT,10TSIJnyUcowWhpjj59gHB
1AyGkdivbkcwZ67ElYxIFI,0LyfQWJT6nXafLPZqxe9Of
09UEuDX0FZYXtRVYkvDLSA,0LyfQWJT6nXafLPZqxe9Of
0gC39hx2OS9rA9hSItx217,2kuNswDC82PL9xRbfaZJaS
4JkDkkybu20yONywlHABro,36eDX6PQlJkjxXUhIINO5w
2ZVgfQF9ljaMugBwVJMoM8,0LyfQWJT6nXafLPZqxe9Of
5hGwwc1svsrzpCUlnP84F5,1nyQBzKgZ2hBLr7PnyV7cI
36BIYdP4WtviD9Ngqc4SK5,22bE4uQ6baNwSHPVcDxLCe
031Opw10ZrHaGAoKVgyHEA,3tM3DTmG7ahfACzwqtazLD
