0,,0.713,https://api.spotify.com/v1/audio-analysis/2XkuSbp5say8nZW8g6156Z,0.582,140867.0,0.575,2XkuSbp5say8nZW8g6156Z,3.66e-06,7.0,0.151,-11.89,1.0,0.0529,140.601,4.0,https://api.spotify.com/v1/tracks/2XkuSbp5say8nZW8g6156Z,audio_features,spotify:track:2XkuSbp5say8nZW8g6156Z,0.559
1,,0.119,https://api.spotify.com/v1/audio-analysis/0GiWjFOVWv3mVaNCxkgqlq,0.701,165867.0,0.8,0GiWjFOVWv3mVaNCxkgqlq,0.0,0.0,0.0831,-2.936,1.0,0.0286,127.752,4.0,https://api.spotify.com/v1/tracks/0GiWjFOVWv3mVaNCxkgqlq,audio_features,spotify:track:0GiWjFOVWv3mVaNCxkgqlq,0.968
2,,0.0348,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,0.725,222813.0,0.853,2PzU4IB8Dr6mxV3lHuaG34,0.127,2.0,0.196,-7.842,1.0,0.0353,136.282,4.0,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,audio_features,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.897
3,,0.485,https://api.spotify.com/v1/audio-analysis/36ckFm0oicmvX8bWEErIHd,0.51,155960.0,0.565,36ckFm0oicmvX8bWEErIHd,0.0,1.0,0.0476,-8.105,0.0,0.05,143.381,4.0,https://api.spotify.com/v1/tracks/36ckFm0oicmvX8bWEErIHd,audio_features,spotify:track:36ckFm0oicmvX8bWEErIHd,0.683
4,,0.504,https://api.spotify.com/v1/audio-analysis/5GMw6X6BbCDGO9gApQYRSa,0.39,225227.0,0.309,5GMw6X6BbCDGO9gApQYRSa,0.0,1.0,0.0863,-14.12,1.0,0.0265,94.444,4.0,https://api.spotify.com/v1/tracks/5GMw6X6BbCDGO9gApQYRSa,audio_features,spotify:track:5GMw6X6BbCDGO9gApQYRSa,0.452
5,,0.81,https://api.spotify.com/v1/audio-analysis/4AK7JaKbg3LLVszqndBXOF,0.481,185400.0,0.589,4AK7JaKbg3LLVszqndBXOF,0.0,4.0,0.249,-10.471,1.0,0.0461,117.699,4.0,https://api.spotify.com/v1/tracks/4AK7JaKbg3LLVszqndBXOF,audio_features,spotify:track:4AK7JaKbg3LLVszqndBXOF,0.647
6,,0.188,https://api.spotify.com/v1/audio-analysis/7DD7eSuYSC5xk2ArU62esN,0.534,139560.0,0.725,7DD7eSuYSC5xk2ArU62esN,0.0,6.0,0.0994,-7.576,0.0,0.0332,95.003,4.0,https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN,audio_features,spotify:track:7DD7eSuYSC5xk2ArU62esN,0.761
7,,0.0488,https://api.spotify.com/v1/audio-analysis/3Qj9eV3K9SliziHK6EQPDa,0.532,130813.0,0.636,3Qj9eV3K9SliziHK6EQPDa,0.00089,9.0,0.101,-11.23,1.0,0.0373,147.128,4.0,https://api.spotify.com/v1/tracks/3Qj9eV3K9SliziHK6EQPDa,audio_features,spotify:track:3Qj9eV3K9SliziHK6EQPDa,0.883
8,,0.94,https://api.spotify.com/v1/audio-analysis/1Vzr9AOdHw65UHoK1Vuxls,0.404,143267.0,0.246,1Vzr9AOdHw65UHoK1Vuxls,3e-05,11.0,0.297,-13.812,1.0,0.041,71.274,4.0,https://api.spotify.com/v1/tracks/1Vzr9AOdHw65UHoK1Vuxls,audio_features,spotify:track:1Vzr9AOdHw65UHoK1Vuxls,0.287
9,,0.625,https://api.spotify.com/v1/audio-analysis/6jWkZvd1URGktyTTwcpPpB,0.579,165000.0,0.419,6jWkZvd1URGktyTTwcpPpB,0.0,0.0,0.0981,-10.72,1.0,0.0346,104.564,4.0,https://api.spotify.com/v1/tracks/6jWkZvd1URGktyTTwcpPpB,audio_features,spotify:track:6jWkZvd1URGktyTTwcpPpB,0.681
