0,05sRO4JdAtJGyZQOTb6kSL,Sam The Sham & The Pharaohs,7442.0,47.0,spotify:artist:05sRO4JdAtJGyZQOTb6kSL
1,7fIvjotigTGWqjIz6EP1i4,Four Tops,210016.0,68.0,spotify:artist:7fIvjotigTGWqjIz6EP1i4
2,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138556.0,84.0,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
3,1XICntAIOLc3OPozkykv39,We Five,1555.0,27.0,spotify:artist:1XICntAIOLc3OPozkykv39
4,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0,spotify:artist:4b0WsB47XCa9F83BmwQ7WX
5,6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0,spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8
6,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789677.0,89.0,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
7,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0,spotify:artist:48YxSlb23RAaCd4RyHcV9V
8,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,1704220.0,82.0,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
9,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG
10,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0,spotify:artist:3oDbviiivRWhXwIE8hxkVV
11,1RP2UpEaRzkF0Id3JigqD8,Roger Miller,34744.0,57.0,spotify:artist:1RP2UpEaRzkF0Id3JigqD8
12,1gVvCzqQy5epTJcFNwWJ37,Jewel Akens,354.0,24.0,spotify:artist:1gVvCzqQy5epTJcFNwWJ37
13,3CgsVtt7tP8iduzkTCfel9,Mel Carter,1436.0,34.0,spotify:artist:3CgsVtt7tP8iduzkTCfel9
14,1rHh0AI30JhKrbzKIFjFNd,Jr. Walker & The All Stars,31566.0,58.0,spotify:artist:1rHh0AI30JhKrbzKIFjFNd
15,71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,43704.0,57.0,spotify:artist:71lGEtP9qYXDsSXjfexTqO
16,0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,17084.0,43.0,spotify:artist:0XTxadWXVyfB8eTIYOjMYj
17,4jZOiPysIzYxbDcDEOZmhu,Ramsey Lewis Trio,7469.0,43.0,spotify:artist:4jZOiPysIzYxbDcDEOZmhu
18,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0,spotify:artist:48YxSlb23RAaCd4RyHcV9V
19,57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0,spotify:artist:57bUPid8xztkieZfS7OlEV
20,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0,spotify:artist:4b0WsB47XCa9F83BmwQ7WX
21,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0,spotify:artist:48YxSlb23RAaCd4RyHcV9V
22,7dedWAqd0IKTdCiqiadUrV,The Seekers,24917.0,51.0,spotify:artist:7dedWAqd0IKTdCiqiadUrV
23,0DAqhikcMKLo2lPADVz2fs,Jay & The Americans,14612.0,58.0,spotify:artist:0DAqhikcMKLo2lPADVz2fs
24,1PCZpxHJz7WAMF8EEq8bfc,The Byrds,181677.0,66.0,spotify:artist:1PCZpxHJz7WAMF8EEq8bfc
25,0uPfErG0KkEmtYg4y3O7LC,Sounds Orchestral,251.0,21.0,spotify:artist:0uPfErG0KkEmtYg4y3O7LC
26,5PmZd7YOaUgQwhOja44fmZ,Barbara Mason,19913.0,46.0,spotify:artist:5PmZd7YOaUgQwhOja44fmZ
