"""eve of destruction""",1965.0,0.352,0.585,216813.0,0.414,"""1x95pWB3KeK3evKa1VrW6e""",0.0,2.0,0.102,-13.494,1.0,0.0442,116.483,4.0,0.784
"""hang on sloopy""",1965.0,0.167,0.764,231800.0,0.516,"""0i7O5MtSTXvR4BEY7stpjF""",0.0,7.0,0.0723,-12.099,1.0,0.0334,115.255,4.0,0.929
"""ticket to ride""",1965.0,0.0457,0.519,189680.0,0.85,"""7CZiDzGVjUssMSOXrDNYHL""",0.0,9.0,0.233,-6.777,1.0,0.0678,123.419,4.0,0.75
"""red roses for a blue lady""",1965.0,0.872,0.613,139653.0,0.306,"""4GXXOBUEpCr58TFHIkLrZ0""",0.687,7.0,0.142,-12.448,1.0,0.0319,117.724,4.0,0.328
"""papas got a brand new bag""",1965.0,0.493,0.746,125707.0,0.702,"""6v4gV9s0pnwKbmF1yk5knO""",0.0398,4.0,0.0964,-8.099,1.0,0.0766,129.434,4.0,0.904
"""game of love""",1965.0,0.0946,0.575,127093.0,0.843,"""0jUfBCWrfrZGueD8MjvgMo""",0.0,9.0,0.197,-4.298,1.0,0.0328,109.254,4.0,0.955
"""the name game""",1965.0,0.201,0.678,164867.0,0.811,"""1wQjtqCtUqvaV6CjPKIGdc""",3.99e-06,5.0,0.178,-7.419,0.0,0.123,163.761,4.0,0.938
"""i know a place""",1965.0,0.735,0.434,162600.0,0.722,"""7dQP6ESUYUMYUAnGkdyjXi""",1.16e-05,4.0,0.634,-9.637,1.0,0.0496,137.936,4.0,0.604
"""back in my arms again""",1965.0,0.156,0.719,176613.0,0.516,"""1cY6UYbPf4plUm3fpLZGWF""",0.0199,5.0,0.148,-9.005,1.0,0.0296,123.296,4.0,0.535
"""baby im yours""",1965.0,0.401,0.464,152733.0,0.398,"""5GInJChhrHyXmwb4tQFJJG""",0.0,6.0,0.064,-14.282,1.0,0.03,98.256,4.0,0.81
"""jolly green giant""",1965.0,0.619,0.527,119171.0,0.615,"""0WhJxcxyQOIK9iaH9GmpKv""",0.0,10.0,0.164,-8.497,1.0,0.0373,134.809,4.0,0.964
"""hush hush sweet charlotte""",1965.0,0.782,0.335,152360.0,0.163,"""7piKtR55k2SsnV7I01ncNI""",0.0,10.0,0.316,-17.254,1.0,0.031,84.315,4.0,0.523
"""like a rolling stone""",1965.0,0.729,0.483,369600.0,0.721,"""3AhXZa8sUQht0UEdBJgpGc""",0.0,0.0,0.189,-6.836,1.0,0.032,95.261,4.0,0.561
"""im telling you now""",1965.0,0.378,0.605,128907.0,0.699,"""2Y4uWO8r9f3YfqBT6nCEg3""",0.0,3.0,0.305,-6.875,1.0,0.0317,71.38,4.0,0.889
"""ferry cross the mersey""",1965.0,0.255,0.405,141987.0,0.365,"""4aSw1QJIMwYSoDEgzgdCJL""",4.68e-06,6.0,0.163,-10.226,0.0,0.0289,104.536,4.0,0.584
"""just once in my life""",1965.0,0.623,0.258,229200.0,0.398,"""0qdTcFmL5mtPgdYqPPJubE""",7.76e-05,2.0,0.341,-12.869,1.0,0.0357,90.224,4.0,0.27
"""seventh son""",1965.0,0.273,0.546,136613.0,0.299,"""59RkCJ1LeyY83HvlAcVuYa""",0.000219,9.0,0.96,-21.019,1.0,0.053,158.013,4.0,0.963
"""im henery the eighth i am""",1965.0,,,,,,,,,,,,,,
"""a walk in the black forest""",1965.0,0.633,0.704,169680.0,0.377,"""3msjvrkCvIzUNJHULcAafN""",0.494,2.0,0.23,-11.896,1.0,0.0306,106.251,4.0,0.778
"""for your love""",1965.0,0.236,0.347,150627.0,0.638,"""5bC4y9Zhn6ng0MOzACCHkc""",0.0,2.0,0.0894,-10.258,1.0,0.0409,94.506,4.0,0.594
"""california girls""",1965.0,0.471,0.503,160360.0,0.62,"""6bJuuCtXYiwOcKT9s8uRh8""",0.0,11.0,0.159,-6.069,1.0,0.0295,116.595,4.0,0.703
"""go now""",1965.0,0.586,0.334,191200.0,0.474,"""0aE88kbyvVtBx9lcyv95fe""",0.0,5.0,0.144,-11.959,0.0,0.0373,118.248,3.0,0.618
"""goldfinger""",1965.0,0.265,0.401,168733.0,0.446,"""6NGe9yGadOvtx0XRePVRdo""",0.0,4.0,0.298,-9.646,1.0,0.0416,103.906,4.0,0.42
"""down in the boondocks""",1965.0,0.492,0.675,153147.0,0.588,"""2wTdZ6wy0AJp5LcYzWcVt5""",9.45e-06,9.0,0.0953,-11.031,1.0,0.0457,82.949,4.0,0.941
"""baby the rain must fall""",1965.0,0.873,0.56,139040.0,0.529,"""6bZKOc50K0nlfNAPleAlkA""",0.0,4.0,0.361,-10.105,1.0,0.0303,109.787,4.0,0.508
"""catch us if you can""",1965.0,0.00205,0.514,114662.0,0.488,"""6ONGiF4vjvYZ38IyWWN7nd""",0.0115,7.0,0.127,-11.217,1.0,0.0291,150.08,4.0,0.631
"""eight days a week""",1965.0,0.412,0.652,163600.0,0.583,"""1Dg4dFJr3HW7sbA7vPejre""",0.0,9.0,0.119,-7.811,1.0,0.038,138.134,4.0,0.758
"""just a little""",1965.0,0.165,0.591,145507.0,0.611,"""4PXJjX7PQGzCh4G5WR4Pli""",3.71e-05,9.0,0.114,-9.179,0.0,0.0394,128.241,4.0,0.679
"""you turn me on""",1965.0,0.254,0.738,163667.0,0.804,"""1qLkTAzxVkneRbIcIAvgEA""",0.00755,10.0,0.0608,-8.55,1.0,0.0395,94.015,4.0,0.921
"""ill be doggone""",1965.0,0.455,0.693,166733.0,0.765,"""1Jb3G7XkSuPR60ZeUaub6N""",0.0,2.0,0.151,-6.615,1.0,0.0401,133.381,4.0,0.729
"""save your heart for me""",1965.0,0.106,0.63,119840.0,0.272,"""3t0BNaPKjRyekNdpd3GiR2""",0.0,2.0,0.0654,-10.338,1.0,0.0268,105.754,4.0,0.6
"""tired of waiting for you""",1965.0,0.419,0.674,149880.0,0.702,"""0gDHo7nkUC3846vefhHJcE""",0.0,0.0,0.249,-9.723,1.0,0.0354,122.096,4.0,0.867
"""count me in""",1965.0,0.308,0.446,146267.0,0.677,"""5VB2fb8NTAkMJzqCIdB4vC""",1.37e-06,5.0,0.129,-8.874,1.0,0.0386,161.523,4.0,0.778
"""all day and all of the night""",1965.0,0.247,0.563,142227.0,0.915,"""5gmMa8nwzrkcPbHzSW3azN""",8.46e-05,7.0,0.0613,-5.062,1.0,0.08,136.345,4.0,0.722
