artist_id,genres
4b0WsB47XCa9F83BmwQ7WX,"[adult standards, brill building pop, bubblegum pop, christmas, folk rock, mellow gold, motown, rock-and-roll, rockabilly]"
3TiISqKS6ESlMQ4WFfZJw2,"[adult standards, brill building pop, bubblegum pop, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock]"
48YxSlb23RAaCd4RyHcV9V,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, classic rock, folk, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock]"
0YJh7LL1SsLgWfSXjIFbfg,"[ballroom, easy listening]"
2lxX1ivRYp26soIavdG9bX,"[album rock, art rock, blues, blues-rock, british blues, british invasion, bubblegum pop, chicago blues, classic funk rock, classic rock, delta blues, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, rock-and-roll, rockabilly, roots rock, singer-songwriter, soft rock, symphonic rock, texas blues, traditional blues]"
3oDbviiivRWhXwIE8hxkVV,"[brill building pop, classic rock, folk rock, mellow gold, pop christmas, psychedelic rock, rock, singer-songwriter, soft rock]"
5BcZ22XONcRoLhTbZRuME1,"[album rock, art rock, blues-rock, british blues, british invasion, classic funk rock, classic rock, folk, folk rock, hard rock, mellow gold, pop christmas, progressive rock, psychedelic rock, rock, roots rock, singer-songwriter, soft rock, symphonic rock]"
090VebphoycdEyH165iMqc,"[adult standards, brill building pop, cabaret, christmas, disco, easy listening, jazz christmas, lounge, operatic pop, vocal jazz]"
4WFTfNjxQYskBioYk39r9n,"[brill building pop, bubblegum pop, folk rock, merseybeat, nashville sound, rock-and-roll, swamp pop]"
4GxVmha4ELBwUE4bPyChzS,"[folk, folk christmas, traditional folk]"
2HBbky0Z08ZcCKVsXWbNE4,"[brill building pop, british invasion, bubblegum pop, folk rock, merseybeat]"
3WrFJ7ztbogyGnTHbHJFl2,"[british invasion, classic rock, merseybeat, protopunk, psychedelic rock, rock]"
4DQj1q0unpi9KF8jO1Wqks,"[brill building pop, british blues, bubblegum pop, classic garage rock, classic rock, country rock, folk rock, freakbeat, merseybeat, psychedelic rock, traditional folk]"
7GYdSOyUNp70L6kXepVAzJ,"[british invasion, merseybeat]"
3koiLjNrgRTNbOwViDipeA,"[classic funk rock, motown, quiet storm, soul, soul christmas]"
0XTxadWXVyfB8eTIYOjMYj,"[adult standards, brill building pop, british invasion, bubblegum pop, christmas, classic garage rock, doo-wop, folk rock, merseybeat, rock-and-roll]"
1SQRv42e4PjEYfPhS0Tk9E,"[album rock, art rock, blues-rock, british blues, british invasion, classic rock, dance rock, folk christmas, folk rock, glam rock, mellow gold, protopunk, psychedelic rock, rock, roots rock, singer-songwriter, soft rock]"
0XTxadWXVyfB8eTIYOjMYj,"[adult standards, brill building pop, british invasion, bubblegum pop, christmas, classic garage rock, doo-wop, folk rock, merseybeat, rock-and-roll]"
