"""ooo baby baby""","""5RoOpSqvVg2jPdSfwm22wh"""
"""laugh at me""","""1TdmzgmdjrKQjJWk4jTGlO"""
"""treat her right""","""2dq2J24oIF67Uvttut4dv7"""
"""the race is on""","""7tTD5I9ZyXAxH4LoWPHMJR"""
"""im a fool""","""54eajp10qPgjUCiD2Ds9jk"""
"""the boy from new york city""","""6HXiCCertmHIfuVHDdZ8QG"""
"""keep searchin well follow the sun""","""6IW5U4H5EkzznI0fCWlbzR"""
"""how sweet it is to be loved by you""","""2zF8ro2hX0aEYaqXQdEKW1"""
"""cherish""","""5fmtvzDvwlfvNjdNrOj8TA"""
"""youre my soul and inspiration""","""5ZHOiRqKOzgFMfMAu8cwzp"""
"""reach out ill be there""","""0CVHCyORgFfT5cjf3VX8Dg"""
"""last train to clarksville""","""3h4t9qpFktohHeUQc3hZCa"""
"""monday monday""","""3EFb1qDgIqf9MegIryKtDj"""
"""you cant hurry love""","""69Qa7czzqraPWZgxpQN405"""
"""poor side of town""","""2kt0TS6sYxz25uze84l5Oq"""
"""california dreamin""","""4s6LhHAV5SEsOV0lC2tjvJ"""
"""summer in the city""","""7AzFID6u1b3zIWbd9pb8Dk"""
"""born free""","""1C0932MrLNcbw6nmu8wyfl"""
"""these boots are made for walkin""","""2nwCO1PqpvyoFIvq3Vrj8N"""
"""what becomes of the brokenhearted""","""2d8sMU2oaJ7pjnoeGQrQDL"""
"""strangers in the night""","""74VR3AkGPhbYXnxcOYa16x"""
"""we can work it out""","""1hTUFqJuQAMjXVGwUPWDqi"""
"""good lovin""","""0XnhQGfqfi5CnZXcONJuI5"""
"""winchester cathedral""","""3Q51jQuzjEDMTyFX4pT2dK"""
"""hanky panky""","""3uqEiaO6MUoM89nLSIs05c"""
"""when a man loves a woman""","""51FpzuGkRYXFgsE2zXt9av"""
"""paint it black""","""7lY8aoN3wUR3NY4nUwigPv"""
"""my love""","""2j1GzI1DwpEado5Rjw0wxk"""
"""lightnin strikes""","""25fT8QmhiA6f89diSeVbXa"""
"""wild thing""","""0D9J4MkQVyn1690CBqLx4u"""
"""kicks""","""0QBs9whmv4jdyU3sujWDlW"""
"""sunshine superman""","""4RGxUjaCmVtD30pIhtEi7w"""
"""sunny""","""4vju55Ag7apDL2CfotuE7Q"""
"""paperback writer""","""0Ui8KPWZbJJQ2Y0CIQuVqX"""
"""see you in september""","""2caREKLVN9PbVDe9EPzXjc"""
"""you keep me hangin on""","""4a01ClusxuZiloOK5UgLUn"""
"""lil red riding hood""","""4xYcvJQvUxImEVFSuKub1p"""
"""good vibrations""","""5t9KYe0Fhd5cW6UYT4qP8f"""
"""a groovy kind of love""","""4fMIYsT8NBZnjfabukzgAI"""
"""you dont have to say you love me""","""0q8nQ0H4ad4KYcZdrTZPux"""
"""cool jerk""","""1CQHMHRCDs1qioeseVTbaR"""
"""born a woman""","""5KEnvHcFjvt3ZVy2yPuMo6"""
"""red rubber ball""","""6DuLN8tFW0DkH9wsbTHZsX"""
"""baby""","""35w6fQ0Wnuv7aIryRx7gTq"""
"""walk away renee""","""4wfK7KMFTFMNDDfKDe1aWi"""
"""daydream""","""3c06k9x6MHHdPQi3ix68yF"""
"""time wont let me""","""7i4rIZqwNg4wtmYO6SDKru"""
"""hooray for hazel""","""41IOFD9RMoMGOliWjUYJdG"""
"""sweet pea""","""6huU7kH11qu59yPeKwERsL"""
"""bus stop""","""0K3i1MJwU4v0Aq0VdYZnPg"""
"""im your puppet""","""6H8WMHCov3QGaPLbpOMpcJ"""
"""im so lonesome i could cry""","""5Ev3tcD1q2lX6E11gsrykk"""
"""aint too proud to beg""","""4CoGNqLap7UGU5Q3VdKug0"""
"""dirty water""","""11sGMdEqalkocgfOKFfQdI"""
"""elusive butterfly""","""226EXK5tPVsqaZ2y9RACR0"""
"""i am a rock""","""0byOqNZN9ailhoORv5Ps0Z"""
"""secret agent man""","""2BlaUfBTbWG50DoZHBD1uV"""
"""the sound of silence""","""2LkaNhCrNVmcYgXJeLVmsw"""
"""lady godiva""","""1nneC7m6oPIo1JuCXPZyHa"""
"""homeward bound""","""03VXrViYqJpdhuBEV0p0ak"""
"""did you ever have to make up your mind""","""06YcuDoEZvMcxgzvtzJTz4"""
"""barefootin""","""7ggOcfcCbyX8IWIWPEdT1x"""
"""uptight everythings alright""","""0Hw6SCrtU9pFCjgAONpnGZ"""
"""bang bang my baby shot me down""","""6LLK7hZgXFYi5Jk4oRQvAl"""
"""sloop john b""","""2ULL3VZf4WwBKO4vjwT7Bg"""
"""19th nervous breakdown""","""21ElXnithj4MX8E4rg5lh8"""
"""wipe out""","""4anUinKv803lyDD1vaSXhU"""
"""psychotic reaction""","""5JcaA4A9ZoXthwEnxOxWvP"""
"""beauty is only skin deep""","""2WA2CMuyc45avVfuReG7cE"""
"""just like me""","""0uHCSrV4jy7psUhU6zAZ8O"""
"""love makes the world go round""","""4Y7l1eia6itAEAdkxjOlox"""
"""the pied piper""","""6NRPca47f5sXb1rZO38a36"""
"""coming on strong""","""3IVYAkuJ62oqVCy17YMGuX"""
"""somewhere my love""","""1IYn7ytdb8byvHKS7S3Cat"""
"""almost persuaded""","""7uesA0ZHlPn1bwkA0qpUXl"""
"""if i were a carpenter""","""4z6UGH0TJuFk9eLGBQYyhd"""
"""dont mess with bill""","""6UoklSOHrajLQkD98nP7re"""
"""cherry cherry""","""2SS3WeSe24ZqTlTSK4KzQZ"""
"""working in the coal mine""","""5GR1Jj5ahZtoR6WqyM5LP4"""
"""message to michael""","""6vHlv0vQEqQE7b1g3mY78v"""
"""love is a hurtin thing""","""6vR08FrdLqK0hiC2Y75s4O"""
"""barbara ann""","""0J7d1ewTZNBtQYEGcONyLg"""
"""gloria""","""5WNcnqDpO5asMaDIthIcu1"""
"""my world is empty without you""","""2UUSG19I7Yshi75bzdIs9l"""
"""rainy day women 12  35""","""7BkAlVpGwXXl3sYNn5OoJ7"""
"""guantanamera""","""6Z6bFqqxhHS53Z5SqT0exe"""
"""land of 1000 dances""","""61w1Ry5X8UUsbNoPG7zRP1"""
"""woman""","""7zd7QV2lCDGGmwOxMiULVY"""
"""you baby""","""6o2FF4ArSHzLaLNxWxUndK"""
"""five oclock world""","""2Wz0v9VNmiL2wJCUryuZDX"""
"""black is black""","""6lazLV13sV8VNGJTjL4Zeu"""
"""nowhere man""","""5SUlhldQJtOhUr2GzH5RI7"""
"""dandy""","""6PaoF0aLOd9XVaD4NUS1Ta"""
"""baby scratch my back""","""3LJUiTwAFRy3t8RxxTZXot"""
"""shes just my style""","""61Qh466Q63M4uckeYrYeal"""
"""the more i see you""","""2FqVUZc8DSxibYFtTiOI26"""
"""i fought the law""","""6Um3XCAxl9YfFmAnGl93xc"""
"""yellow submarine""","""50xwQXPtfNZFKFeZ0XePWc"""
"""hungry""","""0TFrZujvEWMig5qoR6ibQR"""
"""zorba the greek""","""3WLEVNohakzZmMpN5W7mHK"""
"""shapes of things""","""4wUEyxnu0u0r5Ht2zLI79b"""
"""to sir with love""","""0gBFr7N2D1GfhkXIIepIGG"""
"""the letter""","""6RJK553YhstRzyKA4mug09"""
"""ode to billie joe""","""4FdDorlbJTVHcH3djLbIfn"""
"""windy""","""6RUpOheT93fUdI508K5w6U"""
"""im a believer""","""3G7tRC24Uh09Hmp1KZ7LQ2"""
"""light my fire""","""5uvosCdMlFdTXhoazkTI5R"""
